Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
"ArrivalNotice / transport / placeOfReceipt / locationName",locationName,string,,100,,"Port of Amsterdam","Location name",
"ArrivalNotice / transport / placeOfReceipt / unLocationCode",unLocationCode,string,,5,"^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code identifying a certain location. The pattern used must be:
* 2 characters for the country code using ISO 3166-1 alpha-2
* 3 characters to code a location within that country (using letters A-Z and numbers from 2-9)

Additional information can be found [here](https://unece.org/trade/cefact/UNLOCODE-Download).",
"ArrivalNotice / transport / plannedArrivalDate",plannedArrivalDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the first mother vessel arriving at the destination country.",
"ArrivalNotice / transport / plannedDepartureDate",plannedDepartureDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of departure of the first mother vessel arriving at the destination country.",
"ArrivalNotice / transport / portOfDischarge",portOfDischarge,Location,yes,,,,"The location where the cargo is discharged from the last sea-going vessel.",
"ArrivalNotice / transport / portOfDischarge / address",address,Address,,,,,,
"ArrivalNotice / transport / portOfDischarge / address / city",city,string,,35,,Amsterdam,City,
"ArrivalNotice / transport / portOfDischarge / address / countryCode",countryCode,string,,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.",
"ArrivalNotice / transport / portOfDischarge / address / floor",floor,string,,50,,2nd,Floor,
"ArrivalNotice / transport / portOfDischarge / address / poBox",poBox,string,,20,,12345,"P.O. box",
"ArrivalNotice / transport / portOfDischarge / address / postCode",postCode,string,,10,,"1234 AB","Post code",
"ArrivalNotice / transport / portOfDischarge / address / stateRegion",stateRegion,string,,65,,"North Holland","State or region",
"ArrivalNotice / transport / portOfDischarge / address / street",street,string,,70,,"Example St.",Street,
"ArrivalNotice / transport / portOfDischarge / address / streetNumber",streetNumber,string,,50,,123,"Street number",
"ArrivalNotice / transport / portOfDischarge / facilityCode",facilityCode,string,,6,"^\S(?:.*\S)?$",CTA,"Facility code in the list provided by `facilityCodeListProvider`",
"ArrivalNotice / transport / portOfDischarge / facilityCodeListProvider",facilityCodeListProvider,string,,,,BIC,"The provider of the code list in which `facilityCode` is defined.
 * `BIC` - BIC Facility Codes; details [here](https://www.bic-code.org/facility-codes/)
 * `SMDG` - Ship Message Design Group; details [here](https://www.bic-code.org/facility-codes/)",
"ArrivalNotice / transport / portOfDischarge / locationName",locationName,string,,100,,"Port of Amsterdam","Location name",
"ArrivalNotice / transport / portOfDischarge / unLocationCode",unLocationCode,string,,5,"^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code identifying a certain location. The pattern used must be:
* 2 characters for the country code using ISO 3166-1 alpha-2
* 3 characters to code a location within that country (using letters A-Z and numbers from 2-9)

Additional information can be found [here](https://unece.org/trade/cefact/UNLOCODE-Download).",
"ArrivalNotice / transport / portOfLoading",portOfLoading,Location,yes,,,,"The location where the cargo is loaded onto a first sea-going vessel for water transportation.",
"ArrivalNotice / transport / portOfLoading / address",address,Address,,,,,,
"ArrivalNotice / transport / portOfLoading / address / city",city,string,,35,,Amsterdam,City,
"ArrivalNotice / transport / portOfLoading / address / countryCode",countryCode,string,,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.",
"ArrivalNotice / transport / portOfLoading / address / floor",floor,string,,50,,2nd,Floor,
"ArrivalNotice / transport / portOfLoading / address / poBox",poBox,string,,20,,12345,"P.O. box",
"ArrivalNotice / transport / portOfLoading / address / postCode",postCode,string,,10,,"1234 AB","Post code",
"ArrivalNotice / transport / portOfLoading / address / stateRegion",stateRegion,string,,65,,"North Holland","State or region",
"ArrivalNotice / transport / portOfLoading / address / street",street,string,,70,,"Example St.",Street,
"ArrivalNotice / transport / portOfLoading / address / streetNumber",streetNumber,string,,50,,123,"Street number",
"ArrivalNotice / transport / portOfLoading / facilityCode",facilityCode,string,,6,"^\S(?:.*\S)?$",CTA,"Facility code in the list provided by `facilityCodeListProvider`",
"ArrivalNotice / transport / portOfLoading / facilityCodeListProvider",facilityCodeListProvider,string,,,,BIC,"The provider of the code list in which `facilityCode` is defined.
 * `BIC` - BIC Facility Codes; details [here](https://www.bic-code.org/facility-codes/)
 * `SMDG` - Ship Message Design Group; details [here](https://www.bic-code.org/facility-codes/)",
"ArrivalNotice / transport / portOfLoading / locationName",locationName,string,,100,,"Port of Amsterdam","Location name",
"ArrivalNotice / transport / portOfLoading / unLocationCode",unLocationCode,string,,5,"^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code identifying a certain location. The pattern used must be:
* 2 characters for the country code using ISO 3166-1 alpha-2
* 3 characters to code a location within that country (using letters A-Z and numbers from 2-9)

Additional information can be found [here](https://unece.org/trade/cefact/UNLOCODE-Download).",
"ArrivalNotice / transportDocumentReference","transportDocumentReference",string,yes,20,"^\S(?:.*\S)?$",XYZ1234,"Reference of the transport document for which this arrival notice was created",
"ArrivalNotice / transportDocumentTypeCode","transportDocumentTypeCode",string,yes,,,BOL,"Type of the transport document for which this arrival notice was created
 * `BOL` - Bill of Lading
 * `SWB` - Sea Waybill",
"ArrivalNotice / utilizedTransportEquipments","utilizedTransportEquipments","UtilizedTransportEquipment list",yes,,,,"The equipments being used.",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings",activeReeferSettings,ActiveReeferSettings,,,,,,
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / airExchangeSetpoint",airExchangeSetpoint,string,,,"^\d+(\.\d+)?$",12.3,"Target rate at which outdoor air replaces indoor air","Specifying attribute 'airExchangeSetpoint' requires specifying attribute 'airExchangeUnit'."
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / airExchangeUnit",airExchangeUnit,string,,,,MQH,"Measurement unit in which the `airExchangeSetpoint` is expressed
 * `FQH` - Cubic foot per hour
 * `MQH` - Cubic metre per hour","Specifying attribute 'airExchangeSetpoint' requires specifying attribute 'airExchangeUnit'."
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / co2Setpoint",co2Setpoint,string,,,"^\d+(\.\d+)?$",12.3,"Target CO2 percentage",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / humiditySetpoint",humiditySetpoint,string,,,"^\d+(\.\d+)?$",12.3,"Target humidity percentage",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / isBulbMode",isBulbMode,boolean,,,,true,"Flag indicating whether flower bulb handling mode is active",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / isColdTreatmentRequired",isColdTreatmentRequired,boolean,,,,true,"Flag indicating whether the cargo requires cold treatment prior to loading at origin or during transit,
but prior arrival at POD",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / isControlledAtmosphereRequired","isControlledAtmosphereRequired",boolean,,,,true,"Flag indicating whether the cargo requires controlled atmosphere",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / isDrainHolesOpen",isDrainHolesOpen,boolean,,,,true,"Flag indicating whether the drain holes are open",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / isVentilationOpen",isVentilationOpen,boolean,,,,true,"Flag indicating whether the ventilation orifice is open",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / o2Setpoint",o2Setpoint,string,,,"^\d+(\.\d+)?$",12.3,"Target O2 percentage",
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / temperatureSetpoint",temperatureSetpoint,string,,,"^-?\d+(\.\d+)?$",-12.3,"Target temperature","Specifying attribute 'temperatureSetpoint' requires specifying attribute 'temperatureUnit'."
"ArrivalNotice / utilizedTransportEquipments / activeReeferSettings / temperatureUnit",temperatureUnit,string,,,,CEL,"Measurement unit in which the `temperatureSetpoint` is expressed
 * `CEL` - Celsius
 * `FAH` - Fahrenheit","Specifying attribute 'temperatureSetpoint' requires specifying attribute 'temperatureUnit'."
"ArrivalNotice / utilizedTransportEquipments / equipment",equipment,Equipment,yes,,,,,
"ArrivalNotice / utilizedTransportEquipments / equipment / equipmentReference",equipmentReference,string,,11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.

According to ISO 6346, a container identification code consists of a 4-letter prefix and a 7-digit number
(composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with ISO 6346, it is suggested to follow
[Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations)
from SMDG.",
"ArrivalNotice / utilizedTransportEquipments / equipment / isoEquipmentCode",isoEquipmentCode,string,,4,,22G1,"Unique code for the different equipment size and type used to transport commodities.

The code can refer to one of ISO size type (e.g. 22G1) or ISO type group (e.g. 22GP)
following the [ISO 6346](https://www.iso.org/standard/83558.html) standard.",
"ArrivalNotice / utilizedTransportEquipments / equipment / tareWeight",tareWeight,Weight,,,,,,
"ArrivalNotice / utilizedTransportEquipments / equipment / tareWeight / unit",unit,string,yes,,,KGM,"The unit in which the weight `value` is expressed
 * `GRM` - Grams
 * `KGM` - Kilograms
 * `LBR` - Pounds
 * `ONZ` - Ounce",
"ArrivalNotice / utilizedTransportEquipments / equipment / tareWeight / value",value,string,yes,,"^\d+(\.\d+)?$",123.456,"The weight expressed in the selected `unit`",
"ArrivalNotice / utilizedTransportEquipments / isDirectDeliveryRequired",isDirectDeliveryRequired,boolean,,,,true,"Indicates whether the container with dangerous goods cargo must exit the port immediately after being discharged,
based on the destination port and country regulations.",
"ArrivalNotice / utilizedTransportEquipments / isExemptOfReuse",isExemptOfReuse,boolean,,,,true,"Specifies whether the container must be returned to the carrier and cannot be reused by the consignee for export.",
"ArrivalNotice / utilizedTransportEquipments / isNonOperatingReefer",isNonOperatingReefer,boolean,,,,true,"Indicates whether the equipment is a reefer container that should be treated as a dry container.",
"ArrivalNotice / utilizedTransportEquipments / seals",seals,"Seal list",yes,,,,"The seal-related information associated with this equipment.",
"ArrivalNotice / utilizedTransportEquipments / seals / sealNumber",sealNumber,string,yes,15,,VET123,"Seal number",
"ArrivalNotice / utilizedTransportEquipments / seals / source",source,string,,,,VET,"Code identifying the type of entity that has affixed the seal (the seal ""source"")

 * `CAR` - Carrier
 * `CUS` - Customs
 * `SHI` - Shipper
 * `VET` - Veterinary",
"ArrivalNotice / utilizedTransportEquipments / shippingMarks",shippingMarks,"string list",,,,,"Ordered list of shipping mark lines printed on the package",
"ArrivalNotice / vesselVoyage",vesselVoyage,VesselVoyage,,,,,,
"ArrivalNotice / vesselVoyage / carrierImportVoyageNumber","carrierImportVoyageNumber",string,yes,50,,1234N,"The identifier of an import voyage. The carrier-specific identifier of the import Voyage.",
"ArrivalNotice / vesselVoyage / typeCode",typeCode,string,yes,,,POD,"Code representing the destination type of a vessel voyage.

 * `DC` - destination country
 * `POD` - port of destination",
"ArrivalNotice / vesselVoyage / universalImportVoyageReference","universalImportVoyageReference",string,,5,"^\d{2}[0-9A-Z]{2}[NEWSR]$",2301W,"A global unique voyage reference for the import Voyage, as per DCSA standard, agreed by VSA partners for the voyage.
 * last 2 digits of the year
 * 2 alphanumeric characters for the sequence number of the voyage
 * 1 character for the initial of the direction/haul (North, East, West, South or Roundtrip).",
"ArrivalNotice / vesselVoyage / vesselFlag",vesselFlag,string,,2,"^[A-Z]{2}$",NL,"Vessel flag",
"ArrivalNotice / vesselVoyage / vesselIMONumber",vesselIMONumber,string,,8,"^\d{7,8}$",12345678,"The unique reference for a registered vessel, which remains unchanged throughout the entire lifetime of the vessel.
The reference is the International Maritime Organisation (IMO) number,
also sometimes known as the Lloyd's register code.",
"ArrivalNotice / vesselVoyage / vesselName",vesselName,string,yes,50,,"King of the Seas","Vessel name",
"ArrivalNoticeNotification",,,,,,,,
"ArrivalNoticeNotification / equipmentReferences",equipmentReferences,"string list",,,,,"References of the equipments for which this arrival notice was created",
"ArrivalNoticeNotification / etaAtPlaceOfDeliveryDate",etaAtPlaceOfDeliveryDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the shipment at place of delivery",
"ArrivalNoticeNotification / etaAtPortOfDischargeDate",etaAtPortOfDischargeDate,string,yes,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the vessel at the port of discharge",
"ArrivalNoticeNotification / issueDateTime",issueDateTime,string,yes,,,2025-01-23T01:23:45Z,"The date and time when the Arrival Notice was issued.",
"ArrivalNoticeNotification / label",label,string,,1000,,Warning,"Free text used to indicate a certain version or type of arrival notice,
for example ""Warning"", ""Updated"", ""Second"", ""Third"" etc.",
"ArrivalNoticeNotification / placeOfDelivery",placeOfDelivery,Location,,,,,"The location where the cargo is handed over by the shipping line to the consignee or its agent and where the
responsibility of the shipping line ceases",
"ArrivalNoticeNotification / placeOfDelivery / address",address,Address,,,,,,
"ArrivalNoticeNotification / placeOfDelivery / address / city",city,string,,35,,Amsterdam,City,
"ArrivalNoticeNotification / placeOfDelivery / address / countryCode",countryCode,string,,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.",
"ArrivalNoticeNotification / placeOfDelivery / address / floor",floor,string,,50,,2nd,Floor,
"ArrivalNoticeNotification / placeOfDelivery / address / poBox",poBox,string,,20,,12345,"P.O. box",
"ArrivalNoticeNotification / placeOfDelivery / address / postCode",postCode,string,,10,,"1234 AB","Post code",
"ArrivalNoticeNotification / placeOfDelivery / address / stateRegion",stateRegion,string,,65,,"North Holland","State or region",
"ArrivalNoticeNotification / placeOfDelivery / address / street",street,string,,70,,"Example St.",Street,
"ArrivalNoticeNotification / placeOfDelivery / address / streetNumber",streetNumber,string,,50,,123,"Street number",
"ArrivalNoticeNotification / placeOfDelivery / facilityCode",facilityCode,string,,6,"^\S(?:.*\S)?$",CTA,"Facility code in the list provided by `facilityCodeListProvider`",
"ArrivalNoticeNotification / placeOfDelivery / facilityCodeListProvider",facilityCodeListProvider,string,,,,BIC,"The provider of the code list in which `facilityCode` is defined.
 * `BIC` - BIC Facility Codes; details [here](https://www.bic-code.org/facility-codes/)
 * `SMDG` - Ship Message Design Group; details [here](https://www.bic-code.org/facility-codes/)",
"ArrivalNoticeNotification / placeOfDelivery / locationName",locationName,string,,100,,"Port of Amsterdam","Location name",
"ArrivalNoticeNotification / placeOfDelivery / unLocationCode",unLocationCode,string,,5,"^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code identifying a certain location. The pattern used must be:
* 2 characters for the country code using ISO 3166-1 alpha-2
* 3 characters to code a location within that country (using letters A-Z and numbers from 2-9)

Additional information can be found [here](https://unece.org/trade/cefact/UNLOCODE-Download).",
"ArrivalNoticeNotification / portOfDischarge",portOfDischarge,Location,yes,,,,"The location where the cargo is discharged from the last sea-going vessel",
"ArrivalNoticeNotification / portOfDischarge / address",address,Address,,,,,,
"ArrivalNoticeNotification / portOfDischarge / address / city",city,string,,35,,Amsterdam,City,
"ArrivalNoticeNotification / portOfDischarge / address / countryCode",countryCode,string,,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.",
"ArrivalNoticeNotification / portOfDischarge / address / floor",floor,string,,50,,2nd,Floor,
"ArrivalNoticeNotification / portOfDischarge / address / poBox",poBox,string,,20,,12345,"P.O. box",
"ArrivalNoticeNotification / portOfDischarge / address / postCode",postCode,string,,10,,"1234 AB","Post code",
"ArrivalNoticeNotification / portOfDischarge / address / stateRegion",stateRegion,string,,65,,"North Holland","State or region",
"ArrivalNoticeNotification / portOfDischarge / address / street",street,string,,70,,"Example St.",Street,
"ArrivalNoticeNotification / portOfDischarge / address / streetNumber",streetNumber,string,,50,,123,"Street number",
"ArrivalNoticeNotification / portOfDischarge / facilityCode",facilityCode,string,,6,"^\S(?:.*\S)?$",CTA,"Facility code in the list provided by `facilityCodeListProvider`",
"ArrivalNoticeNotification / portOfDischarge / facilityCodeListProvider",facilityCodeListProvider,string,,,,BIC,"The provider of the code list in which `facilityCode` is defined.
 * `BIC` - BIC Facility Codes; details [here](https://www.bic-code.org/facility-codes/)
 * `SMDG` - Ship Message Design Group; details [here](https://www.bic-code.org/facility-codes/)",
"ArrivalNoticeNotification / portOfDischarge / locationName",locationName,string,,100,,"Port of Amsterdam","Location name",
"ArrivalNoticeNotification / portOfDischarge / unLocationCode",unLocationCode,string,,5,"^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code identifying a certain location. The pattern used must be:
* 2 characters for the country code using ISO 3166-1 alpha-2
* 3 characters to code a location within that country (using letters A-Z and numbers from 2-9)

Additional information can be found [here](https://unece.org/trade/cefact/UNLOCODE-Download).",
"ArrivalNoticeNotification / transportDocumentReference","transportDocumentReference",string,yes,20,"^\S(?:.*\S)?$",XYZ1234,"Reference of the transport document for which this arrival notice was created",
